Category,Rating,Reviews,Installs
ART_AND_DESIGN,4.1,159,10000
ART_AND_DESIGN,3.9,967,500000
ART_AND_DESIGN,4.7,87510,5000000
ART_AND_DESIGN,4.5,215644,50000000
ART_AND_DESIGN,4.3,967,100000
ART_AND_DESIGN,4.4,167,50000
ART_AND_DESIGN,3.8,178,50000
ART_AND_DESIGN,4.1,36815,1000000
ART_AND_DESIGN,4.4,13791,1000000
ART_AND_DESIGN,4.7,121,10000
ART_AND_DESIGN,4.4,13880,1000000
ART_AND_DESIGN,4.4,8788,1000000
ART_AND_DESIGN,4.2,44829,10000000
ART_AND_DESIGN,4.6,4326,100000
ART_AND_DESIGN,4.4,1518,100000
ART_AND_DESIGN,3.2,55,5000
ART_AND_DESIGN,4.7,3632,500000
ART_AND_DESIGN,4.5,27,10000
ART_AND_DESIGN,4.3,194216,5000000
ART_AND_DESIGN,4.6,224399,10000000
ART_AND_DESIGN,4.0,450,100000
ART_AND_DESIGN,4.1,654,100000
ART_AND_DESIGN,4.7,7699,500000
ART_AND_DESIGN,4.191512757553112,61,100000
ART_AND_DESIGN,4.7,118,50000
ART_AND_DESIGN,4.8,192,10000
ART_AND_DESIGN,4.7,20260,500000
ART_AND_DESIGN,4.1,203,100000
ART_AND_DESIGN,3.9,136,10000
ART_AND_DESIGN,4.1,223,100000
ART_AND_DESIGN,4.2,1120,100000
ART_AND_DESIGN,4.1,227,50000
ART_AND_DESIGN,4.5,5035,100000
ART_AND_DESIGN,4.2,1015,100000
ART_AND_DESIGN,4.7,353,10000
ART_AND_DESIGN,3.8,564,100000
ART_AND_DESIGN,4.7,8145,500000
ART_AND_DESIGN,4.1,36639,5000000
ART_AND_DESIGN,4.7,158,10000
ART_AND_DESIGN,4.0,591,500000
ART_AND_DESIGN,4.2,117,10000
ART_AND_DESIGN,4.5,176,100000
ART_AND_DESIGN,4.4,295221,10000000
ART_AND_DESIGN,3.8,2206,100000
ART_AND_DESIGN,4.2,26,10000
ART_AND_DESIGN,4.7,174531,10000000
ART_AND_DESIGN,4.6,1070,100000
ART_AND_DESIGN,4.2,85,100000
ART_AND_DESIGN,4.3,845,100000
AUTO_AND_VEHICLES,4.2,367,100000
AUTO_AND_VEHICLES,4.0,1598,1000000
AUTO_AND_VEHICLES,3.8,284,100000
AUTO_AND_VEHICLES,4.6,17057,1000000
AUTO_AND_VEHICLES,3.9,129,100000
AUTO_AND_VEHICLES,4.3,542,100000
AUTO_AND_VEHICLES,4.9,10479,100000
AUTO_AND_VEHICLES,4.4,805,50000
AUTO_AND_VEHICLES,4.2,129,100000
AUTO_AND_VEHICLES,4.0,1403,100000
AUTO_AND_VEHICLES,3.9,3971,100000
AUTO_AND_VEHICLES,4.6,534,10000
AUTO_AND_VEHICLES,4.9,7774,100000
AUTO_AND_VEHICLES,4.3,38846,1000000
AUTO_AND_VEHICLES,4.6,2431,100000
AUTO_AND_VEHICLES,4.9,6090,100000
AUTO_AND_VEHICLES,3.9,295,10000
AUTO_AND_VEHICLES,4.0,190,50000
AUTO_AND_VEHICLES,4.3,40211,5000000
AUTO_AND_VEHICLES,3.9,356,100000
AUTO_AND_VEHICLES,4.2,52530,5000000
AUTO_AND_VEHICLES,4.8,116986,5000000
AUTO_AND_VEHICLES,3.6,1379,500000
AUTO_AND_VEHICLES,4.2,271920,10000000
AUTO_AND_VEHICLES,4.8,736,100000
AUTO_AND_VEHICLES,4.8,7021,500000
AUTO_AND_VEHICLES,4.6,197,50000
AUTO_AND_VEHICLES,4.5,737,100000
AUTO_AND_VEHICLES,4.3,3574,1000000
AUTO_AND_VEHICLES,4.5,994,100000
AUTO_AND_VEHICLES,4.9,197136,1000000
AUTO_AND_VEHICLES,3.9,142,50000
AUTO_AND_VEHICLES,4.4,15168,1000000
AUTO_AND_VEHICLES,4.0,2155,500000
AUTO_AND_VEHICLES,4.3,138,100000
AUTO_AND_VEHICLES,3.7,5414,1000000
AUTO_AND_VEHICLES,4.4,21777,1000000
AUTO_AND_VEHICLES,4.3,348,100000
AUTO_AND_VEHICLES,3.2,250,100000
AUTO_AND_VEHICLES,4.6,13372,1000000
AUTO_AND_VEHICLES,4.6,7880,100000
AUTO_AND_VEHICLES,4.5,3617,100000
AUTO_AND_VEHICLES,3.7,4806,1000000
AUTO_AND_VEHICLES,4.6,65786,1000000
AUTO_AND_VEHICLES,4.6,31433,1000000
AUTO_AND_VEHICLES,4.6,5097,1000000
AUTO_AND_VEHICLES,4.0,1754,500000
AUTO_AND_VEHICLES,4.4,2680,500000
AUTO_AND_VEHICLES,4.0,1288,100000
BEAUTY,4.7,18900,500000
BEAUTY,4.9,49790,1000000
BEAUTY,4.7,1150,100000
BEAUTY,3.9,1739,500000
BEAUTY,3.9,32090,1000000
BEAUTY,4.2,2225,500000
BEAUTY,4.6,4369,100000
BEAUTY,4.3,8572,1000000
BEAUTY,4.7,964,50000
BEAUTY,4.7,42050,1000000
BEAUTY,4.8,104,10000
BEAUTY,4.2,17934,1000000
BEAUTY,4.3,601,100000
BEAUTY,4.5,36,10000
BEAUTY,4.1,187,50000
