player1,player2,score,url_match,score_set
Руденко В,Михайлов И,- : -,https://tt.sport-liga.pro/games/323349,не сыгран
Лбов Ю,Сорокин М,- : -,https://tt.sport-liga.pro/games/323350,не сыгран
Михайлов И,Федоров А,- : -,https://tt.sport-liga.pro/games/323351,не сыгран
Руденко В,Лбов Ю,- : -,https://tt.sport-liga.pro/games/323352,не сыгран
Федоров А,Сорокин М,- : -,https://tt.sport-liga.pro/games/323353,не сыгран
Михайлов И,Лбов Ю,- : -,https://tt.sport-liga.pro/games/323354,не сыгран
Сорокин М,Руденко В,- : -,https://tt.sport-liga.pro/games/323355,не сыгран
Лбов Ю,Федоров А,- : -,https://tt.sport-liga.pro/games/323356,не сыгран
Сорокин М,Михайлов И,- : -,https://tt.sport-liga.pro/games/323357,не сыгран
Федоров А,Руденко В,- : -,https://tt.sport-liga.pro/games/323358,не сыгран
Ляльков В,Шафиев Р,- : -,https://tt.sport-liga.pro/games/323295,не сыгран
Дехтяренко А,Атоманчик К,- : -,https://tt.sport-liga.pro/games/323296,не сыгран
Шафиев Р,Дехтяренко А,- : -,https://tt.sport-liga.pro/games/323297,не сыгран
Атоманчик К,Ляльков В,- : -,https://tt.sport-liga.pro/games/323298,не сыгран
Ляльков В,Дехтяренко А,- : -,https://tt.sport-liga.pro/games/323299,не сыгран
Шафиев Р,Атоманчик К,- : -,https://tt.sport-liga.pro/games/323300,не сыгран
Мельников М,Карюхин А,- : -,https://tt.sport-liga.pro/games/323319,не сыгран
Арлашов А,Самоха Е,- : -,https://tt.sport-liga.pro/games/323320,не сыгран
Карюхин А,Арлашов А,- : -,https://tt.sport-liga.pro/games/323321,не сыгран
Самоха Е,Мельников М,- : -,https://tt.sport-liga.pro/games/323322,не сыгран
Мельников М,Арлашов А,- : -,https://tt.sport-liga.pro/games/323323,не сыгран
Карюхин А,Самоха Е,- : -,https://tt.sport-liga.pro/games/323324,не сыгран
Шкурко А,Гребенюк Б,- : -,https://tt.sport-liga.pro/games/323343,не сыгран
Афанасьев М А,Ляличев Д,- : -,https://tt.sport-liga.pro/games/323344,не сыгран
Гребенюк Б,Афанасьев М А,- : -,https://tt.sport-liga.pro/games/323345,не сыгран
Ляличев Д,Шкурко А,- : -,https://tt.sport-liga.pro/games/323346,не сыгран
Шкурко А,Афанасьев М А,- : -,https://tt.sport-liga.pro/games/323347,не сыгран
Гребенюк Б,Ляличев Д,- : -,https://tt.sport-liga.pro/games/323348,не сыгран
Мурашко В,Логунов А,- : -,https://tt.sport-liga.pro/games/323289,не сыгран
Король Д,Кошель В,- : -,https://tt.sport-liga.pro/games/323290,не сыгран
Логунов А,Король Д,- : -,https://tt.sport-liga.pro/games/323291,не сыгран
Кошель В,Мурашко В,- : -,https://tt.sport-liga.pro/games/323292,не сыгран
Мурашко В,Король Д,- : -,https://tt.sport-liga.pro/games/323293,не сыгран
Логунов А,Кошель В,- : -,https://tt.sport-liga.pro/games/323294,не сыгран
Савинский А,Соколов А,- : -,https://tt.sport-liga.pro/games/323313,не сыгран
Алексеев А,Гусев М,- : -,https://tt.sport-liga.pro/games/323314,не сыгран
Соколов А,Алексеев А,- : -,https://tt.sport-liga.pro/games/323315,не сыгран
Гусев М,Савинский А,- : -,https://tt.sport-liga.pro/games/323316,не сыгран
Савинский А,Алексеев А,- : -,https://tt.sport-liga.pro/games/323317,не сыгран
Соколов А,Гусев М,- : -,https://tt.sport-liga.pro/games/323318,не сыгран
Алов Р,Фролов А Г,- : -,https://tt.sport-liga.pro/games/323337,не сыгран
Пузырев С,Молодцов Д,- : -,https://tt.sport-liga.pro/games/323338,не сыгран
Фролов А Г,Пузырев С,- : -,https://tt.sport-liga.pro/games/323339,не сыгран
Молодцов Д,Алов Р,- : -,https://tt.sport-liga.pro/games/323340,не сыгран
Алов Р,Пузырев С,- : -,https://tt.sport-liga.pro/games/323341,не сыгран
Фролов А Г,Молодцов Д,- : -,https://tt.sport-liga.pro/games/323342,не сыгран
Сидорков А,Кулеш А,- : -,https://tt.sport-liga.pro/games/323283,не сыгран
Пузанов П,Кулагин А,- : -,https://tt.sport-liga.pro/games/323284,не сыгран
Кулеш А,Пузанов П,- : -,https://tt.sport-liga.pro/games/323285,не сыгран
Кулагин А,Сидорков А,- : -,https://tt.sport-liga.pro/games/323286,не сыгран
Сидорков А,Пузанов П,- : -,https://tt.sport-liga.pro/games/323287,не сыгран
Кулеш А,Кулагин А,- : -,https://tt.sport-liga.pro/games/323288,не сыгран
Беспалов Н,Шершнев А,- : -,https://tt.sport-liga.pro/games/323307,не сыгран
Суриков В,Демченко В,- : -,https://tt.sport-liga.pro/games/323308,не сыгран
Шершнев А,Суриков В,- : -,https://tt.sport-liga.pro/games/323309,не сыгран
Демченко В,Беспалов Н,- : -,https://tt.sport-liga.pro/games/323310,не сыгран
Беспалов Н,Суриков В,- : -,https://tt.sport-liga.pro/games/323311,не сыгран
Шершнев А,Демченко В,- : -,https://tt.sport-liga.pro/games/323312,не сыгран
Рахмановский В,Калашников Е,- : -,https://tt.sport-liga.pro/games/323331,не сыгран
Петроченко Д,Бухтияров И,- : -,https://tt.sport-liga.pro/games/323332,не сыгран
Калашников Е,Петроченко Д,- : -,https://tt.sport-liga.pro/games/323333,не сыгран
Бухтияров И,Рахмановский В,- : -,https://tt.sport-liga.pro/games/323334,не сыгран
Рахмановский В,Петроченко Д,- : -,https://tt.sport-liga.pro/games/323335,не сыгран
Калашников Е,Бухтияров И,- : -,https://tt.sport-liga.pro/games/323336,не сыгран
Ермоленко В,Абдеев Р,- : -,https://tt.sport-liga.pro/games/323277,не сыгран
Луговский С,Чертков Д,- : -,https://tt.sport-liga.pro/games/323278,не сыгран
Абдеев Р,Луговский С,- : -,https://tt.sport-liga.pro/games/323279,не сыгран
Чертков Д,Ермоленко В,- : -,https://tt.sport-liga.pro/games/323280,не сыгран
Ермоленко В,Луговский С,- : -,https://tt.sport-liga.pro/games/323281,не сыгран
Абдеев Р,Чертков Д,- : -,https://tt.sport-liga.pro/games/323282,не сыгран
Скоблов А,Ханевский А,- : -,https://tt.sport-liga.pro/games/323301,не сыгран
Белугин О,Барашков О,- : -,https://tt.sport-liga.pro/games/323302,не сыгран
Ханевский А,Белугин О,- : -,https://tt.sport-liga.pro/games/323303,не сыгран
Барашков О,Скоблов А,- : -,https://tt.sport-liga.pro/games/323304,не сыгран
Скоблов А,Белугин О,- : -,https://tt.sport-liga.pro/games/323305,не сыгран
Ханевский А,Барашков О,- : -,https://tt.sport-liga.pro/games/323306,не сыгран
Суркин Д,Галузинский С,- : -,https://tt.sport-liga.pro/games/323325,не сыгран
Денисов А-й,Евлахин Д,- : -,https://tt.sport-liga.pro/games/323326,не сыгран
Галузинский С,Денисов А-й,- : -,https://tt.sport-liga.pro/games/323327,не сыгран
Евлахин Д,Суркин Д,- : -,https://tt.sport-liga.pro/games/323328,не сыгран
Суркин Д,Денисов А-й,- : -,https://tt.sport-liga.pro/games/323329,не сыгран
Галузинский С,Евлахин Д,- : -,https://tt.sport-liga.pro/games/323330,не сыгран
