player1,player2,score,url_match,score_set,table,time
Лопатин С,Солдатов И,- : -,https://tt.sport-liga.pro/games/324646,не сыгран,А6,23:45
Ильин А,Еремин В,- : -,https://tt.sport-liga.pro/games/324647,не сыгран,А6,23:45
Солдатов И,Лыфенко Н,- : -,https://tt.sport-liga.pro/games/324648,не сыгран,А6,23:45
Лопатин С,Ильин А,- : -,https://tt.sport-liga.pro/games/324649,не сыгран,А6,23:45
Лыфенко Н,Еремин В,- : -,https://tt.sport-liga.pro/games/324650,не сыгран,А6,23:45
Солдатов И,Ильин А,- : -,https://tt.sport-liga.pro/games/324651,не сыгран,А6,23:45
Еремин В,Лопатин С,- : -,https://tt.sport-liga.pro/games/324652,не сыгран,А6,23:45
Ильин А,Лыфенко Н,- : -,https://tt.sport-liga.pro/games/324653,не сыгран,А6,23:45
Еремин В,Солдатов И,- : -,https://tt.sport-liga.pro/games/324654,не сыгран,А6,23:45
Лыфенко Н,Лопатин С,- : -,https://tt.sport-liga.pro/games/324655,не сыгран,А6,23:45
Шершнев А,Кутин В,- : -,https://tt.sport-liga.pro/games/324578,не сыгран,А4,23:45
Ермолов Д,Федоров А,- : -,https://tt.sport-liga.pro/games/324579,не сыгран,А4,23:45
Кутин В,Казаков А,- : -,https://tt.sport-liga.pro/games/324580,не сыгран,А4,23:45
Шершнев А,Ермолов Д,- : -,https://tt.sport-liga.pro/games/324581,не сыгран,А4,23:45
Казаков А,Федоров А,- : -,https://tt.sport-liga.pro/games/324582,не сыгран,А4,23:45
Кутин В,Ермолов Д,- : -,https://tt.sport-liga.pro/games/324583,не сыгран,А4,23:45
Федоров А,Шершнев А,- : -,https://tt.sport-liga.pro/games/324584,не сыгран,А4,23:45
Ермолов Д,Казаков А,- : -,https://tt.sport-liga.pro/games/324585,не сыгран,А4,23:45
Федоров А,Кутин В,- : -,https://tt.sport-liga.pro/games/324586,не сыгран,А4,23:45
Казаков А,Шершнев А,- : -,https://tt.sport-liga.pro/games/324587,не сыгран,А4,23:45
Чернов В,Попов О,- : -,https://tt.sport-liga.pro/games/324612,не сыгран,А5,23:30
Зеленский Р,Мамека М,- : -,https://tt.sport-liga.pro/games/324613,не сыгран,А5,23:30
Попов О,Тарасенков Н,- : -,https://tt.sport-liga.pro/games/324614,не сыгран,А5,23:30
Чернов В,Зеленский Р,- : -,https://tt.sport-liga.pro/games/324615,не сыгран,А5,23:30
Тарасенков Н,Мамека М,- : -,https://tt.sport-liga.pro/games/324616,не сыгран,А5,23:30
Попов О,Зеленский Р,- : -,https://tt.sport-liga.pro/games/324617,не сыгран,А5,23:30
Мамека М,Чернов В,- : -,https://tt.sport-liga.pro/games/324618,не сыгран,А5,23:30
Зеленский Р,Тарасенков Н,- : -,https://tt.sport-liga.pro/games/324619,не сыгран,А5,23:30
Мамека М,Попов О,- : -,https://tt.sport-liga.pro/games/324620,не сыгран,А5,23:30
Тарасенков Н,Чернов В,- : -,https://tt.sport-liga.pro/games/324621,не сыгран,А5,23:30
Кулеша Д,Боковой Ю,- : -,https://tt.sport-liga.pro/games/324680,не сыгран,А15,20:00
Сердюк С,Анищенко В,- : -,https://tt.sport-liga.pro/games/324681,не сыгран,А15,20:00
Боковой Ю,Сердюк С,- : -,https://tt.sport-liga.pro/games/324682,не сыгран,А15,20:00
Анищенко В,Кулеша Д,- : -,https://tt.sport-liga.pro/games/324683,не сыгран,А15,20:00
Кулеша Д,Сердюк С,- : -,https://tt.sport-liga.pro/games/324684,не сыгран,А15,20:00
Боковой Ю,Анищенко В,- : -,https://tt.sport-liga.pro/games/324685,не сыгран,А15,20:00
Щавелев Н,Хургин В,- : -,https://tt.sport-liga.pro/games/324656,не сыгран,А9,20:00
Занев В,Цветков Э,- : -,https://tt.sport-liga.pro/games/324657,не сыгран,А9,20:00
Хургин В,Занев В,- : -,https://tt.sport-liga.pro/games/324658,не сыгран,А9,20:00
Цветков Э,Щавелев Н,- : -,https://tt.sport-liga.pro/games/324659,не сыгран,А9,20:00
Щавелев Н,Занев В,- : -,https://tt.sport-liga.pro/games/324660,не сыгран,А9,20:00
Хургин В,Цветков Э,- : -,https://tt.sport-liga.pro/games/324661,не сыгран,А9,20:00
Калашников Е,Шишко Е,- : -,https://tt.sport-liga.pro/games/324548,не сыгран,А3,20:00
Чахур В,Кутепов С,- : -,https://tt.sport-liga.pro/games/324549,не сыгран,А3,20:00
Шишко Е,Чахур В,- : -,https://tt.sport-liga.pro/games/324550,не сыгран,А3,20:00
Кутепов С,Калашников Е,- : -,https://tt.sport-liga.pro/games/324551,не сыгран,А3,20:00
Калашников Е,Чахур В,- : -,https://tt.sport-liga.pro/games/324552,не сыгран,А3,20:00
Шишко Е,Кутепов С,- : -,https://tt.sport-liga.pro/games/324553,не сыгран,А3,20:00
Инназаров А,Пиньковский П,- : -,https://tt.sport-liga.pro/games/324640,не сыгран,А6,19:45
Каплан С,Матвеев И,- : -,https://tt.sport-liga.pro/games/324641,не сыгран,А6,19:45
Пиньковский П,Каплан С,- : -,https://tt.sport-liga.pro/games/324642,не сыгран,А6,19:45
Матвеев И,Инназаров А,- : -,https://tt.sport-liga.pro/games/324643,не сыгран,А6,19:45
Инназаров А,Каплан С,- : -,https://tt.sport-liga.pro/games/324644,не сыгран,А6,19:45
