player1,player2,score,url_match,score_set,table,time
Инназаров А,Пиньковский П,- : -,https://tt.sport-liga.pro/games/324640,не сыгран,А6,19:45
Каплан С,Матвеев И,- : -,https://tt.sport-liga.pro/games/324641,не сыгран,А6,19:45
Пиньковский П,Каплан С,- : -,https://tt.sport-liga.pro/games/324642,не сыгран,А6,19:45
Матвеев И,Инназаров А,- : -,https://tt.sport-liga.pro/games/324643,не сыгран,А6,19:45
Инназаров А,Каплан С,- : -,https://tt.sport-liga.pro/games/324644,не сыгран,А6,19:45
Пиньковский П,Матвеев И,- : -,https://tt.sport-liga.pro/games/324645,не сыгран,А6,19:45
Мартюхин С,Морозов С,- : -,https://tt.sport-liga.pro/games/324634,не сыгран,А6,15:45
Ольшаков К,Бортников Р,- : -,https://tt.sport-liga.pro/games/324635,не сыгран,А6,15:45
Морозов С,Ольшаков К,- : -,https://tt.sport-liga.pro/games/324636,не сыгран,А6,15:45
Бортников Р,Мартюхин С,- : -,https://tt.sport-liga.pro/games/324637,не сыгран,А6,15:45
Мартюхин С,Ольшаков К,- : -,https://tt.sport-liga.pro/games/324638,не сыгран,А6,15:45
Морозов С,Бортников Р,- : -,https://tt.sport-liga.pro/games/324639,не сыгран,А6,15:45
